메뉴 이름,메뉴 설명,재료,조리 과정
고사리파스타,,"삶은 고사리 1줌, 파스타면 2인분, 청양고추 2개, 통마늘 3개, 양파 1개, 굵은소금 약간, 올리브오일 3큰술, 후춧가루 적당히 <br>[양념] 굴소스 1큰술, 간장 1큰술, 맛술 2큰술, 올리고당 1큰술, 참기름 1스푼","1. 마늘, 양파, 청양고추를 썰어주세요. <br>2. 파스타면을 8분 정도 삶아주세요. 파스타 삶은 물은 버리지 말아주세요.<br>3. 양념장을 만들어 주세요. <br>4. 예열한 팬에 올리브오일 빙빙 3번을 두르고 양파, 편마늘, 청양고추를 달달 볶아주세요.<br>5. 삶은 고사리를 넣고 소금 아주 약간 뿌려 볶아주세요. 소금 생략 가능<br>6. 삶은 면을 넣고 양념장을 넣어주세요.<br>7. 후춧가루 톡톡톡 해준 후 양념이 잘 스며들도록 달달달 볶아주세요. 면이 뻑뻑하면 파스타면을 삶은 물을 반국자 정도 넣어주면 촉촉해요."
고사리국,,"고사리 100g, 계란 1개, 대파 1/4대, 마늘 1개, 소고기 20g, 홍고추 1/2개<br> [양념] 소금 약간, 쌀뜨물 4컵, 찹쌀가루 1작은술, 간장 1작은술, 설탕 1/2작은술, 참기름 1/2큰술, 후추 약간, 깨소금 약간","1. 냄비에 물을 끓여서 고사리를 데쳐주세요. 고사리는 삶듯이 데쳐줘야 한답니다. <br>2. 계란은 풀어서 계란물을 만들어 준비해주세요. <br>3. 파의 흰부분은 다지고 푸른부분은 어슷썰고 마늘은 곱게 다져주세요. 마늘은 곱게 다져야 국에 넣었을 때 지저분해 보이지 않아요. <br>4. 데친 고사리와 소고기는 5cm정도의 길이로 썰고 양념 재료를 넣고 양념해주세요. <br>5. 냄비에 소고기와 고사리를 달달 볶아주세요. 소고기는 열이 오르기전에 풀어줘야 단백질이 응고가 되지 않는답니다.<br>6. 소고기와 고사리를 볶은 후 쌀뜨물 4컵을 넣고 끓여주세요. 끓여주고 소금으로 간을 맞춰준답니다.<br>7. 찹쌀가루 1작은술, 물 1작은술을 이용해 찹쌀풀을 만들어서 국에 넣어 농도를 걸쭉하게 만들어요.<br>8. 마지막에 어슷 썬 대파와 홍고추를 채썰어 넣고 계란물을 휘휘 넣어주세요."
고사리 먹물 튀김,,튀김가루 500g 전분 25g 밀가루 44g 구운 김가루 40g 오징어 먹물 12g 물 조금씩 고사리  딸기  식용유 ,"1. 튀김가루 500g, 전분 24g, 밀가루 44g을 한 볼에 준비한다. 식어도 바삭바삭 식감이 살아있는 고사리 먹물 튀김을 위한 특별 가루 구운 김가루 40g을 더해준다. 식감 뿐 아니라 감칠 맛을 위한 특별한 재료. 여기에 검정색 튀김을 탄생시키기 위한 오징어 먹물 12g을 넣어준다. <br>2. 걸쭉한 반죽이 되도록 물을 조금씩 넣어가며 잘 개어준다. <br>3. 고사리 주걱에 똬리를 틀도록(?) 올려주고 만들어둔 검정색 튀김 반죽을 뿌려준다. <br>4. 조각 내어 썰어둔 딸기를 그 위에 올리고 한 번 더 검정색 튀김 반죽을 뿌려준다. <br>5. 튀김 반죽이 입혀진 고사리와 딸기 덩어리를 끓는 기름에 퐁당 . 바삭바삭, 고소하고 감칠맛 나는 고사리 먹물 튀김 완성."
고사리 연근 카나페,뼈에도 좋고~ 색다른 분위기에도 GOOD.,치즈  오이절임 말린토마토 고사리  후추  연근  허브,"1. 오이 절임과 말린 토마토를 잘게 썰어준다. 고사리를 잘게 다져준다. <br>2. 다진 고사리와, 오이 절임, 토마토, 치즈를 한 볼에 넣고 으깨며 섞어 준다. <br>3. 후추를 샤샤샥 뿌려 간을 해준다. <br>4. 얇게 썬 연근을 기름에 튀긴다. 노릇노릇해지면 건져 올려서 바삭바삭해지도록 기름을 빼 준다.<br>5. 앞에 만들어 둔 고사리 치즈를 두 개의 숟가락을 사용해 작은 덩어리로 만든다. <br>6. 바삭하게 튀겨진 연근위에 고사리 치즈 덩어리를 올린다. <br>7. 남은 고사리와 허브도 함께 얹어주면 고사리와 연근을 활용한 색다른 음식, 고사리 연근 카나페 완성."
중국식 고사리 잡채, 고사리의 가장 연한 부분을 활용한 고사리 중국식 잡채,고사리  버섯  당근  피망  파  양파  돼지안심  간장  고춧가루  굴소스  기름 ,"1. 고사리를 알맞게 (손가락 길이에 손 한뼘 길이까지) 썬다. 버섯, 당근, 피망, 파, 양파, 등등 각종 야채를 채 썬다. 두툼한 돼지 안심도 채 썬다. <br>2. 프라이팬에 기름을 두른 뒤, 양파와 고기, 간장을 넣어 볶는다. <br>3. 썰어둔 파를 넣어 함께 볶으며 파기름을 만들어 준다. <br>4. 썰어둔 나머지 채소들을 넣고 고춧가루, 굴소스를 넣어 볶는다. <br>5. 마지막으로 고사리를 투척하여 볶는다.<br>6. 당면 대신 고사리를 넣은 중국식 고사리 잡채 완성."
묵은지 고사리 탕수,묵은지를 이용해 맛난 간식겸 한끼식사,"묵은지, 고사리, 냉장고속야채와과일, [튀김반죽]
녹말가루, 계란,소금(또는튀김가루), 식용유 
<br>[탕수소스] 간장, 물, 물녹말 ","1. 묵은지 한포기 꺼내서. 양념을 씻어주었어요. <br>2. 말린고사리는 물에 충분히 불려주셔야해요.<br>3. 좀 더 부드럽게 만들기위해 물에 함 데쳐주었어요.<br>4. 김치와 고사리를 송송 썰어주세요.<br>5. 과일과 야채를 준비해주세요. <br>6. 예열된 기름에 바삭하게 튀겨주세요. <br>7. 끓는물에.간장,설탕,식초넣고 물녹말로 농도를 맞추시면 된답니다."
고사리 차돌박이찌개,칼슘과 칼륨이 풍부해 성장기 어린이들에게 좋은 식품,"고사리 200g, 감자 2개, 대파 2대, 차돌박이 300g, 물 8컵, 고춧가루 4큰술, 참기름 2큰술, 새우젓 2작은술, 소금 1작은술, 후춧가루 약간, 국간장 4큰술, 청주 2큰술, 마늘(다진 것) 2큰술
<br>고사리 밑간 양념 (고춧가루 4큰술, 참기름 2큰술, 새우젓 2작은술, 소금 1작은술, 후춧가루 약간)<br>차돌박이 밑간 양념 (국간장 4큰술, 청주 2큰술, 마늘 2큰술)","1. 고사리는 끓는 물에 소금을 약간만 넣고 살짝 데쳐 건진 뒤 찬물에 담갔다 건져 물기를 꼭 짠다. 줄기 끝 부분은 잘라내고 3등분한다.<br>2. 감자는 껍질을 벗겨 4등분한 뒤 반달썰기하고 대파는 5cm 정도의 길이로 자른다.<br>3. 볼에 분량의 밑간 양념을 섞은 뒤 고사리, 감자, 대파를 넣고 버무려 20분 정도 재워둔다.<br>4. 볼에 차돌박이와 국간장, 청주, 다진 마늘을 넣고 버무려 밑간 한다.<br>5. 팬에 참기름을 두르고 센불에서 차돌박이를 볶다 양념한 고사리, 감자, 대파를 넣고 약불에서 타지 않게 볶는다.<br>6. 물 8컵을 붓고 센불에서 끓이다 약불로 줄여 감자가 익을 때까지 끓인다."
곶감스무디,,우유 200ml 반건시 곶감 1개 아몬드 2-3개 호두 조금씩 시나몬가루 조금 꿀 기호에 맞게 시럽 기호에맞게,"1. 곶감은 가위로 적당한 크기로 잘라주세요. 반건시의 꼭지는 제거하고 속에 씨도 제거합니다.<br>2. 핸드블랜드로 스무디 재료를 모두 넣고 갈아주시면 됩니다.
<br>3. 곶감,감말랭이로 스무디를 만들경우에는 좀 더 오랜시간 갈아줍니다. 적당하게 갈아준 곶감스무디 맛을 보니 반건시곶감이 달아서 달달하니 설탕, 꿀, 시럽은 안넣어도 되겠습니다. <br>3. 완성된 곶감 스무디 위에 시나몬 가루를 뿌리고 아몬드조각을 뿌려줍니다."
곶감장아찌,,곶감 11개 고추장 3큰술 올리고당 3큰술 간장 2큰술 참기름 조금 통깨 조금,"1. 곶감의 꼭지제거하고 속의 씨도 제거 해주세요.<br>2. 장아찌 양념재료인 고추장,올리고당,간장을 섞어줍니다. <br>3. 장아찌양념에 잘라놓은 곶감을 넣고 조물조물 무쳐줍니다. 양념이 골고루 배이게 조물조물 무쳐주세요.<br>4. 조물조물 양념된 곶감장아찌는 밀폐용기에 담아서 냉장고에 일주일 숙성한뒤에 드시면 됩니다. "
곶감차,곶감은 각종 영양 성분이 농축돼서 단감이나 홍시보다 영양성분이 4배나 높은데요. 비타민이 풍부해서 감기 뿐 아니라 만성기관지염 예방에도 좋답니다. 기침이 오래 가거나 가래를 없애고 싶을 때 곶감이 좋아요. ,곶감 4개 물 500ml,1. 제사 지내고 남은 곶감으로 냉동실에서 꺼낸 상태입니다. 꼭지도 그대로 사용합니다.<br>2. 냄비에 물 500ml 와 곶감 4개를 넣고 끓여줍니다. 물이 반으로 줄어줄 때까지 끓여주고요.<br>3. 어느 정도 곶감이 익었을 때 포크로 곶감을 찔러주면 더 잘 우러납니다. <br>4. 반으로 물이 줄어들고 걸쭉해졌어요. 체에 한번 걸러주세요. <br>5. 컵에 곶감차 4큰술과 뜨거운 물 1컵을 부어줍니다.
곶감샐러드,,"곶감 2개, 귤 2개, 스모크햄 슬라이스4개, 옥수수통조림 1T, 게맛살 1개, 마카로니 1종이컵 <br>
[양념] 마요네즈 2~3T","1. 넓은 팬웍에 물을 마카로니가 잠길정도로 넣고 약 25분 내외로 삶는다. <br>2. 마카로니를 삶는 동안 스모크햄은 작게 네모 썰기 한다. <br>3. 곶감은 얇게 채썰기한 후 옆에 사진처럼 작게 다져 썰어둔다. <br>4. 그릇에 작게썰어둔 곶감을 담는다. <br>5. 귤을 한개씩 넣고 게맛살도 결따라 뜯어서 넣고 옥수수통조림도1T 그릇에 담는다. <br>6. 25분 경과, 삶은 마카로니는 흐르는 찬물에 식혀서 체에 받혀놓는다.<br>7. 그릇에 마카로니도 넣고 스모크햄은 식용유에 두른 예열한 후라이팬에 23분내외로 스모크햄이 익을동안 볶는다.<br>8. 익은 스모크햄을 그릇에 담는다. <br>9. 마요네즈를 23T 재료들위에 뿌리고. 숟가락으로 고루 잘 섞어준다. "
곶감쿠키,,곶감 2개 박력분 100g 버터 50g 설탕 40g 소금 약간 계란 1/2개,"1. 곶감 씨를제거하고 잘게 잘라주었어요. <br>2. 실온에 둔 버터를 풀어주고 소금약간,분량의 설탕,계란을 넣고 풀어줍니다.<br>3. 박력분은 체에 쳐서 넣어주었어요. <br>4. 모든 준비재료를 가루가 보이지 않게 칼질 하듯이 섞어줍니다. <br>5. 숟가락으로 반죽을 떠서 오븐팬에 놓고 모양을 잡아줍니다.<br>6. 예열된 오븐에서 180도 15분 구워주고 160도에서 5분 더 구워주었어요. <br>7. 구워진 곶감쿠키는 식힘망에 올려서 식혀주었어요. "
곶감 초콜릿,,곶감  화이트초콜렛  다크초콜렛 ,1. 화이트초콜릿과 다크초콜릿을 한공기 정도 준비해서 중탕을 합니다. 넉넉하게 중탕을 해서 남은 것은 몰드에 넣어 굳히면 한번에 두가지를 만들 수 있겠지요. <br>2. 처음 초콜릿의 온도는 40도45도로 서서히 녹여 줍니다.<br>3. 녹인 초콜릿볼을 찬물에 담궈 식혀줍니다. 온도를 27도 정도로 내려 주세요. <br>4. 다시 따뜻한 물에 잠깐 담궈서 온도를 32도로 살짝 올려 주세요. 이 상태로 만들어서 작업하면 안정적이고 맛좋은 초콜릿이 완성 됩니다. <br>5. 냉동실에 두었던 곶감을 꺼내 23일 정도 꾸덕하게 말립니다. <br>6. 이것을 펼쳐서 방망이로 살짝 밀어 도톰하고 평평하게 합니다. 방방이로 밀어 평평하게 된 곶감을 손가락 길이로 적당하게 자릅니다. <br>7. 중탕한 다크초콜릿에 곶감을 담궈서 한쪽에 초콜릿이 묻도록 묻쳐서 비닐위에 올려 놓으세요.  <br>8. 유산지 짤주머니에 화이트 초콜릿을 넣고 다크초콜릿위에 물방울처럼 짜줍니다.<br> 9. 냉장고에 넣어 굳히면 '말랑젤리 곶감초콜릿' 완성입니다.
곶감무침 ,쟁여 두었던 곶감이 반찬으로 반전 레시피,"곶감 6개, 호두 2개 <br>[양념재료] 고추장 1숟가락, 간장 1/3숟가락, 꿀 1/2숟가락, 참기름 1/2숟가락, 통깨 약간",1. 곶감을 꼭지를 떼고 반 갈라 씨를 뺀다. 곶감 대신 곶감말랭이도 좋아요.<br>2. 곶감을 한 입 크기로 썬다. <br>3. 호두를 다진다. <br>4. 볼에 양념 재료를 넣고 양념장을 만든다.<br>5. 양념장에 곶감을 넣고 무친 뒤 호두를 뿌려 완성한다.
곶감롤 샌드위치,"우리나라 대표적인 말린과일인 곶감은꼬챙이에 꽂아 말린다고 해 붙여진 이름인데감기예방, 피로회복, 다이어트, 숙취해소,위장보호, 면역력강화, 고혈압예방에 좋답니다",곡물 식빵 2장 스트링치즈 2개 곶감 4개 잣 약간 홀그레인머스타드 소스 약간,1. 곶감 꼭지는 잘라내고 포 뜨듯이 이등분해 펼쳐 주세요.<br>2. 식빵 테두리는 잘라내고 밀대로 밀어 얇게 만든 후 홀그레인머스타드소스 바르고 곶감 올리고 스트링치즈 올리고 돌돌 말아 주세요.<br>3. 랩으로 말아 잠시 둔 다음 먹기 좋게 썰면 곶감롤샌드위치가 완성됩니다. <br>4. 곶감속에 잣 넣고 돌돌 말아 먹기 좋게 썰어 주었어요
구기자 꿀청,몸을 보호하고 면역력을 키워주는 구기자를 잘 먹을 수 있는 방법이에요. 몸을 보호하는 보양재인 구기자와 피로회복에 좋은 꿀을 함께 드시면 면역력이나 체력이 좋아져요,구기자 200g 꿀 1kg,"1. 구기자를 체에 넣고 흐르는 물에 빠르게 씻어준다. <br>2. 팬에 볶아준다.<br>3. 센불에 볶다가 중불, 약불로 줄여 볶아준다.<br>4. 볶아진 구기자는 완전히 식혀서 분쇄기로 갈아준다.<br> 5. 갈아준 구기자 분말과 꿀을 넣고 게어준다."
사과 국화잼,퍼석하고 맛없는 사과의 변신 국화의 향이 가득한 잼,"껍질 제거한 사과 200g, 국화 우릴 물100ml, 국화잎3g <br>
[양념] 설탕 170g, 레몬즙 10ml",1. 물 100ml를 냄비에 넣어 물을 끓여주신후 불을 끄지 마시고 국화를 넣어 살짝 더 끓여 진하게 국화의 향이 우러나오도록 해주세요. <br>2. 사과는 작은 크기로 썰어 준비해줍니다. <br>3. 썰어놓은 사과는 팬에 설탕과 레몬즙을 넣어 섞어주세요. <br>4. 설탕과 사과가 잘 섞여지면 위 진하게 우려낸 국화물을 75ml만 넣어 끓여줍니다. <br>5. 중불에 올려 끓여 주시고 끓여 오르면 불에서 내리고 그대로 2시간 이상 두어 사과를 설탕에 잘 절여지도록 합니다. <br>6. 국화 설탕물에 잘 절여진 사과는 핸드블렌더로 곱게 갈아주세요. <br>7. 이를 중불에 올려 5분 정도 저어가며 끓여주고 약불로 2025분 정도 저어가며 끓여줍니다. 끓이는 동안 일어나는 거품은 모두 떠서 제거해주세요. <br>8. 뭉근하게 끓인 잼은 불에서 내려 주면 됩니다.
냉굴탕,,"생굴, 배, 쪽파, 청양고추  <br> [양념] 물 2컵, 설탕 1+1/2숟갈, 진간장 1/3컵, 식초 5숟갈, 간 마늘 1/2숟갈, 간 생강 1/3숟갈, 고춧가루 2숟갈","1. 배를 채썰어준다.<br>2. 쪽파와 청양고추를 썰어 준비한다.<br>3. 볼에 설탕 한 숟갈 반을 넣는다. 식초 다섯숟갈, 진간장 1/3컵, 물 두컵을 넣는다. <br>4. 준비한 채소와 배를 베이스에 넣어준다.<br>5. 간 생강 1/3숟갈, 간 마늘 반 숟갈을 넣는다.
고춧가루 두 숟갈을 넣으면 양념 완료<br>6. 굴을 넣으면 새콤달콤 냉굴탕 완성."
굴튀김,겉은바삭 속은 촉촉한 굴튀김,"굴 150g, 밀가루 2큰술, 달걀 1개, 빵가루 ½~1컵, 튀김기름 적당량<br> 타르타르 소스 - 마요네즈 5큰술, 삶은 달걀 다진 것 ¼개, 다진 올리브나 케이퍼 1큰술, 다진 양파 1큰술, 다진 피클 1큰술, 피클국물 1큰술, 레몬즙 1작은술, 소금, 후추, 파슬리 약간씩","1. 굴은 굵은 소금을 뿌려서 살살 씻은 후 23번 정도 헹궈 체에 받쳐 물기를 빼요.<br>2. 우묵한 접시나 쟁반을 3개 준비해서, 밀가루, 달걀, 빵가루를 담아둬요.<br>3. 튀김기름을 불에 올리고 소금을 넣어 바로 떠오르면 굴에 밀가루 → 달걀물 → 빵가루 순으로 옷을 입혀서 기름에 튀겨냅니다.<br>4. 타르타르 소스나 초간장을 곁들이면 더 맛있어요."
굴파전,,"굴 30~50g. 대파 ½대, 부침가루 2큰술, 튀김가루 2큰술, 물 적당량, 식용유 적당량","1. 굴은 씻어서 건져두고, 대파는 5㎝ 길이로 채썰어요.<br>2. 튀김가루와 부침가루에  물을 넣어 절죽할 정도로 반죽해둡니다.<br>3. 프라이팬을 불에 올려 달궈지면 식용유를 둘러요.<br>4. 부침반죽에 대파채를 넣어 반죽을 묻도록 한 다음 팬에 잘 펴서 얹어요.<br>5. 대파 위에 굴을 얹고, 고추나 당근 등을 얹은 후 나머지 반죽을 위에 조금 부어줘요.<br>6. 약한 불에서 천천히 앞뒤로 익혀줍니다."
굴미역국 ,바다의 우유라고 불리우는 고영양 성분을 지닌 굴을 이용한 미역국,"미역 50g,굴 300g, 다진마늘 1큰술, 굵은소금 2/3큰술, 액젓 2큰술 <br>
[육수] 국간장 2큰술, 물 4리터, 디포리 적당량",1. 육수 재료를 넣고 센불에서 끓이다가 끓으면 중불에서 약 1015분 정도 끓이다가 불을 끄고 건더기를 건져 줍니다. <br>2. 미역은 물에 담궈 약 20분 정도 불려 준 후 씻어 건져 줍니다.<br>3. 다 끓여 진 육수에 미역을 넣고 끓여 줍니다. <br>4. 미역국이 다 끓여 질무렵 굴을 넣고 분량의 굵은소금과 저염액젓을 넣어 끓여 줍니다.<br>5. 부족한 간은 국간장으로 해주시면 돼요.<br>6. 굵은 소금을 넣어주면 국이 더욱 시원하게 끓여 진답니다. <br>7. 굴이 익으면 다진마늘을 넣어 한소끔 더 끓여주면 된답니다. 미역국은 뭉근하게 오래 끓여야 맛이 좋지요.<br>8. 굴을 넣기전에 오래 끓여주고 굴을 넣고는 짧게 끓여 줍니다.
